TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999549503,SUPERPELL YELLOW RL PCH 24X280ML,24,3828.83,1420.8789,9951.8145,100422.8556
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999561116,MOLTO TRIKA PURPLE 24X400ML,24,6600,2449.26,17154.5814,173105.3214
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999571467,WIPOL DISINFECTANT SPRAY PCH 24X450ML,48,7550.46,5603.9514,39249.9941,396068.1227
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999560423,DOVE SUPER SHAMPOO 24X125ML,24,17200,6382.92,44705.8788,451122.9588
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999571597,MOLTO PEWANGI ANTIBAC 12X780ML,12,13054.08,2422.1846,16964.9453,171191.7207
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999549497,SUPERPELL GREEN RL PCH 24X280ML,24,3828.83,1420.8789,9951.8145,100422.8556
