TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/2/2022 10:28,22005403351,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999519971,VIXAL PRO TC ACID ID 6X2L,6,39000,3618.225,25341.9952,255723.7702
6/2/2022 10:28,22005403351,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999567781,,,,,,
6/2/2022 10:28,22005403351,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999583163,,,,,,
6/2/2022 10:28,22005403351,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999557133,SUNLIGHT PRO LIME POUCH 6X2L,18,39850.5,11091.3904,77683.9371,783901.5467
6/2/2022 10:28,22005403351,PT.SURIATAMA MITRA PERWITA,14532100000000,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999576424,RINSO ANTI NODA CLASSIC PWD 6X1.2KG,6,37103.67,3442.293,24109.77,243289.497
