TglDN,InvSys,NmNPWP,NoNPWP,AddNPWP,Barcode,NmBrg,Qty,Harga,Disc1,PPN,Total
6/2/2022 10:09,22005403368,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999048167,SUNSILK SHP BLACK SHINE AI 480X9ML,960,720.72,10698.3677,74931.2116,756124.0439
6/9/2022 10:01,22005403588,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8992694244513,ZWITSAL BB NAT RICH HON PWD 12X300GR,12,17432.42,3234.5855,22654.99,228609.4445
6/2/2022 10:26,22005403354,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999566647,FAIR & LOVELY G&L BRGHT C GLOW FF 24X50G,24,13071.17,4850.7111,33974.3106,342831.6795
6/4/2022 9:46,22005403434,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999581985,SUPERPELL ANTIBAC CITRUS PCH 12X500ML,12,7316.25,1357.5302,9508.1217,95945.5915
6/2/2022 10:23,22005403358,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999536008,DOVE CREAMBATH SACHET 48X30G,36,3409.92,1898.132,13294.4887,134153.4767
6/9/2022 10:06,22005403585,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999553111,RINSO MATIC PWD TOP LOAD 6X1.8KG,6,61900.83,5742.8495,40222.8344,405884.9649
6/9/2022 9:58,22005403592,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999032128,ZWITSAL BATH NAT HAIR&BODY 6X6X100ML,36,10991,37282.769,39423.2554,397816.4864
6/9/2022 10:13,22005403578,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,"8999999553302
",RINSO MOLTO PERFUME ESSENCE NEW 6X1.65L,12,41752.33,7747.1449,54260.8897,547541.7048
6/7/2022 10:51,22005403451,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999571931,MOLTO AIO BLUE 12X720ML NEW,24,29252.25,211701.16,53938.8124,544291.6524
6/2/2022 10:26,22005403353,PT.SURIATAMA MITRA PERWITA,1.45321E+13,JL.MEDAN - TANJUNG MORAWA KM. 17.5 STM HULU DELI SERDANG SUMATERA UTARA,8999999561116,MOLTO TRIKA PURPLE 24X400ML,24,6600,2449.26,17154.5814,173105.3214
